"pagename","projectcode","year","month","day","hour","bytes","pageviews","rawTokens","tokens","hour_rank"
"",ja,2010,01,05,02,1121795160,1182382,WrappedArray(),WrappedArray(),1
special search,en,2010,01,05,02,787755335,258518,"WrappedArray(special, search)","WrappedArray(special, search)",2
main page,en,2010,01,05,02,3623107545,230207,"WrappedArray(main, page)","WrappedArray(main, page)",3
"",ru,2010,01,05,02,131739625,114058,WrappedArray(),WrappedArray(),4
"",zh,2010,01,05,02,8419093,98160,WrappedArray(),WrappedArray(),5
404 error,en,2010,01,05,02,183609126,84749,"WrappedArray(404, error)","WrappedArray(404, error)",6
special random,en,2010,01,05,02,28976565,49596,"WrappedArray(special, random)","WrappedArray(special, random)",7
"",ko,2010,01,05,02,23590440,31279,WrappedArray(),WrappedArray(),8
wikipedia portada,es,2010,01,05,02,372949076,22296,"WrappedArray(wikipedia, portada)","WrappedArray(wikipedia, portada)",9
"",ar,2010,01,05,02,13467132,21139,WrappedArray(),WrappedArray(),10
category,ja,2010,01,05,02,1831989,20989,WrappedArray(categori),WrappedArray(categori),11
pagina principale,it,2010,01,05,02,1370475176,19521,"WrappedArray(pagina, principal)","WrappedArray(pagina, principal)",12
export,ja,2010,01,05,02,23048,19511,WrappedArray(export),WrappedArray(export),13
"",th,2010,01,05,02,13973616,17634,WrappedArray(),WrappedArray(),14
"",he,2010,01,05,02,14043839,14192,WrappedArray(),WrappedArray(),15
wikipedia hauptseite,de,2010,01,05,02,144148917,12576,"WrappedArray(wikipedia, hauptseit)","WrappedArray(wikipedia, hauptseit)",16
burj khalifa,en,2010,01,05,02,425168824,11450,"WrappedArray(burj, khalifa)","WrappedArray(burj, khalifa)",17
isaac newton,en,2010,01,05,02,670743518,10278,"WrappedArray(isaac, newton)","WrappedArray(isaac, newton)",18
avatar 2009 film,en,2010,01,05,02,569401482,10186,"WrappedArray(avatar, 2009, film)","WrappedArray(avatar, 2009, film)",19
jeff hardy,en,2010,01,05,02,516278885,8862,"WrappedArray(jeff, hardi)","WrappedArray(jeff, hardi)",20
spezial zuf llige seite,de,2010,01,05,02,5703589,8511,"WrappedArray(spezial, zuf, llige, seit)","WrappedArray(spezial, zuf, llige, seit)",21
dalva de oliveira,pt,2010,01,05,02,79407893,7969,"WrappedArray(dalva, de, oliveira)","WrappedArray(dalva, oliveira)",22
"",uk,2010,01,05,02,3297128,7811,WrappedArray(),WrappedArray(),23
p gina principal,pt,2010,01,05,02,113055706,7718,"WrappedArray(gina, princip)","WrappedArray(gina, princip)",24
special search,es,2010,01,05,02,37928814,7334,"WrappedArray(special, search)","WrappedArray(special, search)",25
the secret life of the american teenager,en,2010,01,05,02,164826262,7132,"WrappedArray(the, secret, life, of, the, american, teenag)","WrappedArray(secret, life, american, teenag)",26
search,en,2010,01,05,02,4279207,6747,WrappedArray(search),WrappedArray(search),27
wikip dia accueil principal,fr,2010,01,05,02,117704136,6474,"WrappedArray(wikip, dia, accueil, princip)","WrappedArray(wikip, dia, accueil, princip)",28
sandro de am rica,es,2010,01,05,02,181442325,6105,"WrappedArray(sandro, de, am, rica)","WrappedArray(sandro, rica)",29
