"pagename","projectcode","year","bytes","pageviews","year_rank"
"",ja,2009,1195758001,4378456,1
"",ru,2009,667540709,1400747,2
special search,en,2009,975160256,985554,3
main page,en,2009,3978688348,821669,4
404 error,en,2009,261621777,378235,5
"",zh,2009,8056504,305037,6
special random,en,2009,51196682,265786,7
wikipedia hauptseite,de,2009,1008077785,178529,8
"",ar,2009,55418685,165611,9
"",th,2009,28381974,138519,10
"",ko,2009,65741358,134452,11
"",he,2009,44467939,129980,12
pagina principale,it,2009,1970586668,116490,13
special geolite,meta.m,2009,22037282,86688,14
spezial search,de,2009,360354702,84768,15
category,ja,2009,2625546,76246,16
special search,de,2009,186809485,74204,17
"",bg,2009,20794334,74086,18
wikipedia portada,es,2009,399154069,72562,19
"",fa,2009,16802741,70507,20
export,ja,2009,31308,67863,21
"",uk,2009,22992081,64079,22
hauptseite,de,2009,385783824,58868,23
accueil,fr,2009,351237437,55988,24
"",el,2009,10902929,53305,25
strona g  wna,pl,2009,376745387,47153,26
search,en,2009,13695957,46545,27
"",bg.d,2009,261681,35584,28
spezial suche,de,2009,68477508,35323,29
spezial zuf llige seite,de,2009,9797911,35211,30
wikip dia accueil principal,fr,2009,388650164,31688,31
search,ja,2009,39694463,27062,32
special search,es,2009,49292878,25557,33
"",sr,2009,10404083,23992,34
p gina principal,pt,2009,169410399,23398,35
hoofdpagina,nl,2009,243661984,22490,36
special search,ru,2009,42469504,22312,37
special search,fr,2009,53809951,21407,38
"",en,2009,12105015,20773,39
portal huvudsida,sv,2009,168611808,20728,40
special export,ja,2009,1751921,20565,41
2010 fifa world cup,en,2009,893547412,20131,42
wiki,en,2009,180050738,19542,43
"",he.s,2009,2326167,18072,44
search,ru,2009,27822164,17914,45
special export 22222,ar,2009,10828114,17688,46
tiger woods,en,2009,489034598,17135,47
"",en.d,2009,1140170,16731,48
"",mk,2009,2404921,15832,49
2,ja,2009,8393139,15687,50
hlavn  strana,cs,2009,147742872,15536,51
lady gaga,en,2009,172435457,14928,52
special watchlist,en,2009,153238452,14368,53
recentchangeslinked,uk,2009,254514,14318,54
script kiddie,en,2009,71398325,14188,55
one piece,ja,2009,81676157,14154,56
"",ru.d,2009,2454309,14103,57
speciale ricerca,it,2009,21816000,13611,58
"",ka,2009,3944776,13250,59
"",te,2009,1112343,13247,60
"",hi,2009,3435472,13153,61
hovedside,no,2009,73981499,12966,62
wikipedia,ja,2009,36915908,12813,63
wikipedia etusivu,fi,2009,56427218,12810,64
"",mr,2009,2601771,12556,65
category,zh,2009,1040653,12285,66
elin nordegren,en,2009,60228211,11594,67
coupe du monde de football de 2010,fr,2009,430812264,11576,68
avatar 2009 film,en,2009,189083428,11015,69
special search,it,2009,32026831,10937,70
special export 746 718 55,ar,2009,6201224,10048,71
emerald cockroach wasp,en,2009,112694287,9931,72
"",ja.d,2009,2696631,9836,73
"",ru.s,2009,2737097,9829,74
whatlinkshere,ru,2009,630198,9815,75
youtube,en,2009,164819574,9597,76
main page,commons.m,2009,62083062,9499,77
wikipedia,zh,2009,54125674,9464,78
recentchangeslinked,ru,2009,396601,9446,79
3,ja,2009,24626037,9381,80
wwe tlc tables ladders  chairs,en,2009,106122062,9119,81
the beatles,en,2009,1450483130,9103,82
christmas,en,2009,246401620,9055,83
wwe tlc,en,2009,122779127,9013,84
ana sayfa,tr,2009,58318583,8845,85
specjalna szukaj,pl,2009,12762741,8797,86
glee tv series,en,2009,118905744,8784,87
sp cial page au hasard,fr,2009,2719554,8664,88
dexter tv series,en,2009,199896049,8405,89
deaths in 2009,en,2009,132729566,8368,90
special recherche,fr,2009,9956339,8331,91
special search,nl,2009,20699862,7999,92
"",ta,2009,2134510,7902,93
index html,en,2009,51653821,7893,94
http 404,en,2009,56497829,7785,95
blade runner,en,2009,282210352,7772,96
fu ball weltmeisterschaft 2010,de,2009,159575529,7406,97
united states,en,2009,332086204,7130,98
facebook,en,2009,156916645,7077,99
eric bana,en,2009,96911851,7066,100
special search,ja,2009,8340342,7033,101
michael bubl,en,2009,18948405,6931,102
murder of meredith kercher,en,2009,118321720,6904,103
portal technik,de,2009,28360093,6831,104
"",el.d,2009,462960,6794,105
whatlinkshere,uk,2009,447914,6786,106
special search,zh,2009,10041901,6773,107
"",zh-yue,2009,1962314,6674,108
special autologin,meta.m,2009,3432136,6541,109
fifa world cup,en,2009,248417199,6494,110
special autologin,en.d,2009,5481569,6437,111
special autologin,en.s,2009,4026927,6423,112
special autologin,species.m,2009,4123494,6417,113
special autologin,en.b,2009,9452460,6414,114
special autologin,en.n,2009,4188684,6404,115
special autologin,en.q,2009,3841409,6403,116
special autologin,en.v,2009,2949237,6393,117
michael oher,en,2009,68611438,6377,118
taylor lautner,en,2009,36789840,6370,119
special autologin,www.w,2009,3847942,6365,120
special autologin,commons.m,2009,3808620,6254,121
spezial beobachtungsliste,de,2009,96744802,6209,122
recentchangeslinked,hi,2009,215669,6208,123
hanukkah,en,2009,147938084,6186,124
pen lope cruz,en,2009,5566729,6127,125
"",ko.d,2009,328437,6043,126
special,zh,2009,2092529,5944,127
"",ar.s,2009,1414016,5879,128
lil wayne,en,2009,63990680,5808,129
"",bn,2009,2238721,5722,130
image oca jpg,commons.m,2009,119332826,5714,131
taylor swift,en,2009,93279018,5657,132
4,ja,2009,4580038,5656,133
"",ml,2009,4265831,5655,134
portal,ja,2009,103893037,5651,135
pear,en,2009,120177304,5596,136
recentchangeslinked,ru.d,2009,122449,5572,137
michael jackson,en,2009,165838301,5566,138
wikipedia,en,2009,200875610,5537,139
special randompage,en,2009,1331402,5536,140
india,en,2009,181789325,5513,141
1,ja,2009,7182588,5466,142
frank zappa,de,2009,403429305,5385,143
"",ru.q,2009,2058400,5362,144
jos  jos,en,2009,703233,5361,145
portal current events,en,2009,73347437,5326,146
charlize theron,en,2009,129983815,5291,147
special search,pl,2009,34423945,5218,148
miley cyrus,en,2009,77864278,5200,149
sex,en,2009,34482960,5018,150
random,ru,2009,1818915,5006,151
forside,da,2009,45594477,4984,152
ufc 107,en,2009,37986030,4915,153
jin,ja,2009,98109040,4911,154
scrubs tv series,en,2009,63612085,4872,155
halaman utama,id,2009,29405868,4834,156
recentchangeslinked,bpy,2009,72030,4816,157
paranormal activity film,en,2009,36416079,4772,158
wiktionary main page,en.d,2009,26315914,4729,159
2012 film,en,2009,32548284,4671,160
"",fr.d,2009,366819,4648,161
eminem,en,2009,75991153,4621,162
kezd lap,hu,2009,46857896,4609,163
kim kardashian,en,2009,24139405,4538,164
world war ii,en,2009,165010242,4530,165
file story of doctor dolittle jpg,en,2009,35591117,4445,166
copa mundial de f tbol de 2010,es,2009,109280314,4444,167
modern warfare 2,en,2009,60820452,4411,168
nhk,ja,2009,8194401,4404,169
av,ja,2009,89450041,4385,170
toiminnot satunnainen sivu,fi,2009,1129297,4372,171
eddie fatu,en,2009,90488512,4343,172
white christmas film,en,2009,64195273,4331,173
world war i,en,2009,165100297,4322,174
avatar,en,2009,36134713,4321,175
main page,pl,2009,114316231,4315,176
united kingdom,en,2009,348945740,4266,177
mediawiki,www.w,2009,25718517,4262,178
"",zh.s,2009,1763761,4260,179
the office u s tv series,en,2009,95453912,4248,180
peyton manning,en,2009,376149479,4229,181
jay z,en,2009,69056526,4224,182
sexual intercourse,en,2009,37893732,4190,183
santa claus,en,2009,84344702,4123,184
john dillinger,en,2009,76707013,4122,185
justin bieber,en,2009,32556607,4106,186
2009,ja,2009,51824682,4064,187
searchform,ja,2009,25496687,4050,188
hypertext transfer protocol,en,2009,21408692,4022,189
"",be,2009,1419721,3991,190
